Received at: 2019-04-03 17:20:28.632295 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.648262 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.648321 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.664238 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.664295 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.680227 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.696193 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.696245 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.712243 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.728216 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.728286 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.744181 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.744234 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.760179 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.776118 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.776170 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.792108 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.808157 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.808238 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.824144 ['60', 'C1', 'BF', '80', '88', '80', '84', '80', '93']
Received at: 2019-04-03 17:20:28.824268 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 17:20:28.840121 ['60', 'C1', 'BF', '80', '91', '80', '84', '80', '8A']
Received at: 2019-04-03 17:20:28.840177 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.856064 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.872078 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
Received at: 2019-04-03 17:20:28.888053 ['60', 'C1', 'BF', '80', '89', '80', '84', '80', '92']
Received at: 2019-04-03 17:20:28.888104 ['61', '92', '80', 'C0', '80', '80', '80', '80', 'CC']
