Received at: 2019-04-02 16:07:43.492130 ['60', 'C0', '9B', '80', '8E', '80', '84', '80', 'B2']
Received at: 2019-04-02 16:07:43.508131 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.524111 ['60', 'C0', '9B', '80', '85', '80', '84', '80', 'BB']
Received at: 2019-04-02 16:07:43.524163 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.540113 ['60', 'C0', '9B', '80', '8D', '80', '84', '80', 'B3']
Received at: 2019-04-02 16:07:43.540163 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-02 16:07:43.556093 ['60', 'C0', '9B', '80', '8E', '80', '84', '80', 'B2']
Received at: 2019-04-02 16:07:43.572055 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8', '1A', 'A5', 'A7', '99']
Received at: 2019-04-02 16:07:43.572107 ['60', 'C0', '9B', '80', '8E', '80', '84', '80', 'B2']
Received at: 2019-04-02 16:07:43.588065 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-02 16:07:43.604063 ['60', 'C0', '9B', '80', '87', '80', '84', '80', 'B9']
Received at: 2019-04-02 16:07:43.604113 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-02 16:07:43.620064 ['60', 'BF', '9B', '80', 'BF', '80', '84', '80', '82']
Received at: 2019-04-02 16:07:43.620137 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-02 16:07:43.636041 ['60', 'BF', '9B', '80', 'AF', '80', '84', '80', '92']
Received at: 2019-04-02 16:07:43.651994 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-02 16:07:43.652046 ['60', 'BF', '9B', '80', 'A7', '80', '84', '80', '9A']
Received at: 2019-04-02 16:07:43.668003 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-02 16:07:43.683977 ['60', 'BF', '9B', '80', '9F', '80', '84', '80', 'A2']
Received at: 2019-04-02 16:07:43.684027 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-02 16:07:43.700005 ['60', 'BF', '9C', '80', '88', '80', '84', '80', 'B8']
Received at: 2019-04-02 16:07:43.700056 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
Received at: 2019-04-02 16:07:43.715983 ['60', 'BE', '9C', '80', 'B8', '80', '84', '80', '89']
Received at: 2019-04-02 16:07:43.716033 ['61', '92', '80', 'C0', 'A0', '80', '80', '84', 'A8']
